word,label,x,y
kahjutekitavam,0,-47.6927792025,0.3933468121
konkreetsem,0,36.326427992199996,3.4699638945
juhuslikum,0,10.1572849577,14.3291007382
empaatilisem,0,56.152164921499995,-6.7361490144000005
tõusvam,0,59.790073478800004,-35.3053519412
lihtsakoelisem,0,25.730551961,6.3294510538
valkjam,0,52.11807719350001,-5.727780533200001
paksem,0,12.2799338701,-0.4880148183
hukatavam,0,63.155834668199994,82.40798684079998
loodusealtim,0,49.2172465196,-3.7360743358
vasakpoolsem,0,-3.1311038147000003,-5.8048428112
lennukam,0,-8.0286526736,-6.3019801548
määramatum,0,30.8778209829,-8.1627768163
elavam,0,17.0104143131,2.644832184
2kilisem,0,52.9144963567,-4.2810986351
olulistem,0,-21.7315431715,-1.3890271445
räpakam,0,23.9624559184,-23.405785690100004
skandaalsem,0,-16.0608369596,-9.888711835499999
lastepärasem,0,54.58718586649999,-5.5485539062
rumalam,0,-11.477720299400001,-0.8997051517
v2iksem,0,48.885305460699996,-3.5431305393
otsem,0,-36.0769523252,1.7095001411
kahjustavam,0,14.6796460147,14.5569430004
paduliberaalsem,0,60.6804136663,-51.0385478342
eeskujulikum,0,-36.5234035713,-2.6888316338
töömahukam,0,8.3257053898,3.0735682857
tasem,0,53.8651223595,-6.7244508103
rakenduslikum,0,19.7778059806,-3.6934226621
barjäärivabam,0,49.2124063288,-3.5351888701
sulanum,0,49.4757888887,-3.6738164484
tantsitavam,0,52.439011278,-5.9250608923
ideoloogilisem,0,50.2408104099,-3.5106807061
ilmastikukindlam,0,55.3240205412,-20.3225446304
tänamatum,0,-31.453024616399997,-4.0869337117
soositum,0,-33.191724417399996,-0.4564282121
globaliseeruvam,0,58.8997332913,-19.5721560483
lohutum,0,23.7722111227,-27.139206484299997
haavatavam,0,-21.2354986362,0.522516415
asjakohasem,0,-41.0131197719,-0.6817173379000001
utilitaarsem,0,49.849909511499995,-3.8855916913
tõmmum,0,25.8898623873,-10.968417213399999
vanamoodsam,0,1.4533220435,-1.7011400777
pikergusem,0,52.261640090200004,-4.8907495552
lootustandvam,0,-17.0868923305,-0.97013413
ühetaolisem,0,54.74927541899999,-7.656739525
käegakatsutavam,0,-7.420091348,11.7137818375
alkoholilembesem,0,5.603477044400001,-9.5894046181
vaevanõudvam,0,24.3127390136,9.5641989847
proportsionaalsem,0,-10.7432412456,27.731560155
originaalsem,0,-2.3277588811000003,-1.8050870651
vabameelsem,0,24.312855732600003,0.3130140877
illusioonivabam,0,49.1858966616,-3.5658658887
sarkastilisem,0,6.4938172319000005,-25.322600510999997
detailiseeritum,0,51.5465992161,-4.3429397163
hinnatavam,0,-5.070623645,-8.1281306864
riigikesksem,0,31.4465313309,-26.852882347399998
saamatum,0,9.7414376976,-11.273401469000001
karmisõnalisem,0,32.0638084991,-26.8080756906
rariteetsem,0,5.086423202200001,-14.1675648903
ohtlikum,0,-12.499381382100001,3.362874937
vürtsikam,0,30.1692616189,-9.6071435387
enesetapjalikum,0,0.7465587295999999,-1.5862595383000002
asjatundmatum,0,-22.5409603127,-0.7752645497
ükskõiksem,0,22.634988521799997,-11.0990980299
lustakam,0,28.7008704707,7.7081881409
eestipärasem,0,4.8617655297,3.0475786231
intrigeerivam,0,-16.4150069364,3.8457832331
sinakam,0,53.4244129783,-5.2196517307
paljastavam,0,6.197037169400001,-20.0782018801
murettekitavam,0,-17.6836348483,-1.1160174462
psühholoogilisem,0,7.7315277328,41.4006668265
ulmekesksem,0,55.0508375475,-6.4184053511000005
tavapärasem,0,-19.9227148421,-1.2101965163
individualistlikum,0,30.2002792622,18.1248296874
hõlpsam,0,20.6916754976,12.1143294803
rasvarikkam,0,4.2296928595,-3.1714011012
südikam,0,21.0990327231,11.2769758865
aeganõudvam,0,1.6032092318,3.7602704595
trenditeadlikum,0,-27.6930792864,-0.7027633817
inimtühjem,0,-21.044651079,-4.598028903
pädevam,0,-19.462897382999998,4.3169504224
kulunum,0,-11.892691418900002,-1.2944333405
nirum,0,-4.5372448975,12.1867226412
mõistatuslikum,0,21.253674501099997,-15.3969308173
organiseeritum,0,11.3940856225,-6.8919358877
tasakaalustatum,0,13.817532361300001,18.9430805244
treenitum,0,17.804202506099998,-2.5976552188
sõjaväelaslikum,0,57.7087373792,38.7586186428
veevaesem,0,56.975285419399995,-12.9952806997
pirakam,0,-11.1558114126,5.4904710425
piiramatum,0,55.9775841421,-10.5062890274
juhisõbralikum,0,3.6790291725,-3.0125292695
õigusetum,0,22.394846076999997,-9.8950327545
kasutuskõlblikum,0,0.7622336586,-1.6713637618
pehmeloomulisem,0,51.904119653100004,-4.6168446357
pentsikum,0,8.4761566328,-13.812067965399999
